GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
math-tree-project,main.java.mathTree,MathTree,59,463,13,79,19,111,14,41,2,7
math-tree-project,main.java.mathTree,CalcApp,44,0,6,0,14,0,6,0,3,0
math-tree-project,main.java.mathTree,StringScanner,47,144,2,16,8,30,3,16,2,8
math-tree-project,main.java.mathNode,Add,34,34,2,4,8,6,3,4,2,2
math-tree-project,main.java.mathNode,Sub,34,34,2,4,8,6,3,4,2,2
math-tree-project,main.java.mathNode,Dec,16,12,2,0,5,3,3,3,2,3
math-tree-project,main.java.mathNode,Div,34,17,2,0,8,2,3,2,2,2
math-tree-project,main.java.mathNode,Int,7,21,1,1,2,6,2,4,1,4
math-tree-project,main.java.mathNode,Factory,7,66,0,10,3,18,1,12,1,5
math-tree-project,main.java.mathNode,Pow,34,17,2,0,8,2,3,2,2,2
math-tree-project,main.java.mathNode,Mult,34,34,2,4,8,6,3,4,2,2
math-tree-project,main.java.mathNode,Expression,4,13,0,0,1,4,1,3,1,3
math-tree-project,main.java.mathNode,Operator,0,56,2,8,0,15,2,11,0,8
